id,title,source_url,topic_category,notes
R116,"Preliminary Investigation of the Corrosion Behavior of Proprietary Micro-alloyed Steels in Aerated and Deaerated Brine Solutions",https://link.springer.com/article/10.1007/s11665-017-3031-x,Steel grade comparison,Micro-alloyed steel performance comparison
R117,"Internal Pipeline Corrosion Management and Monitoring",https://inspenet.com/en/articles/internal-pipeline-corrosion-management/,Monitoring overview,Practitioner overview of monitoring techniques
R118,"Monitoring Technology for Early Detection of Internal Corrosion of Pipeline Integrity (NETL)",https://www.netl.doe.gov/node/3100,Monitoring,DOE/NETL monitoring technology summary
R119,"Distributed multi-parameter sensors for simultaneous monitoring of corrosion and humidity (patent)",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/12535425,Monitoring / sensors,Fiber-optic / SAW sensor patent
R120,"Smart electrochemical sensor for pipeline corrosion measurement (patent)",https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/10330587,Monitoring / sensors,Electrochemical sensor patent
R121,"Remote Detection of Internal Pipeline Corrosion Using Fluidized Sensors (NETL)",https://www.netl.doe.gov/node/2967,Monitoring / sensors,DOE/NETL remote detection technology
R122,"Piezoelectric Active Sensing-Based Pipeline Corrosion Monitoring Using Singular Spectrum Analysis",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11244410/,Monitoring / sensors,Open-access piezoelectric sensing + SSA method
R123,"Corrosion Sensors for Structural Health Monitoring of Oil and Natural Gas Infrastructure: A Review",https://pmc.ncbi.nlm.nih.gov/articles/PMC6767297/,Monitoring review,Open-access review of corrosion sensor technologies
R124,"Prediction of the internal corrosion rate for oil and gas pipelines and influence factor analysis with interpretable ensemble learning",https://www.sciencedirect.com/science/article/abs/pii/S0308016124002060,ML prediction,Interpretable ensemble learning + factor analysis
R125,"A Review of Predictive Analytics Models in the Oil and Gas Industries",https://pmc.ncbi.nlm.nih.gov/articles/PMC11207882/,ML review,Open-access review of predictive analytics in O&G
R126,"A multi-level classification model for corrosion defects in oil and gas pipelines using meta-learner ensemble (MLE) techniques",https://www.sciencedirect.com/science/article/pii/S2667143324000714,ML prediction,Stacking/meta-learner classification of corrosion defects
