temperature_C,pCO2_bar,pH,wall_shear_stress_Pa,NaCl_wt_pct,corrosion_rate_dewaard1975_mmpy,corrosion_rate_dewaard1995_mmpy,corrosion_rate_target_mmpy,model_disagreement_ratio,regime
142.31,0.1807,4.96,1.415,15.21,2.1322,5.55343,3.44108,2.6046,conventional_oilfield_range
73.92,4.4608,4.3,79.158,8.46,90.84141,450.29332,202.25054,4.9569,conventional_oilfield_range
110.84,0.4013,4.44,146.398,13.0,59.69296,354.7266,145.51522,5.9425,conventional_oilfield_range
22.55,0.4722,4.51,19.064,4.6,0.95707,9.12514,2.95524,9.5344,conventional_oilfield_range
96.51,0.4862,6.22,74.241,1.42,45.23714,68.18918,55.53993,1.5074,conventional_oilfield_range
36.06,0.2494,6.31,17.484,9.45,0.96979,1.3937,1.16258,1.4371,conventional_oilfield_range
32.61,0.1953,4.79,8.351,9.34,0.35629,2.13213,0.87158,5.9843,conventional_oilfield_range
147.7,0.1974,4.71,5.475,17.23,6.96131,26.33318,13.53933,3.7828,conventional_oilfield_range
70.05,1.8435,4.34,3.496,18.47,1.78466,13.97826,4.99465,7.8324,conventional_oilfield_range
84.8,0.1418,6.5,65.959,19.38,9.93239,7.99672,8.91215,1.2421,conventional_oilfield_range
29.12,2.8637,4.14,7.459,1.17,1.48199,24.94492,6.08013,16.8321,conventional_oilfield_range
43.45,22.5015,4.87,8.327,19.15,12.47776,26.3081,18.11811,2.1084,high_pressure_gas_CO2
109.17,0.2913,4.39,128.233,11.58,39.66867,243.03481,98.18792,6.1266,conventional_oilfield_range
13.29,5.6563,5.01,71.713,3.15,10.42042,41.96563,20.91171,4.0272,conventional_oilfield_range
31.94,6.0968,5.53,3.25,2.4,2.2487,4.26029,3.09518,1.8946,conventional_oilfield_range
91.21,7.2135,4.76,18.626,10.46,67.57906,135.10178,95.5513,1.9992,conventional_oilfield_range
108.85,0.5201,4.69,28.951,6.0,24.37351,128.55171,55.9755,5.2742,conventional_oilfield_range
15.52,2.3706,6.5,147.095,1.47,11.50824,19.97849,15.16302,1.736,conventional_oilfield_range
140.32,43.9129,6.14,6.37,3.15,433.88988,126.09873,233.90802,3.4409,high_pressure_gas_CO2
93.69,91.5586,5.46,1.04,16.34,27.05655,31.61565,29.2474,1.1685,dense_phase_supercritical_CO2
141.14,0.2529,3.85,1.71,11.06,3.3077,28.4717,9.70442,8.6077,conventional_oilfield_range
109.05,0.4081,5.4,3.754,9.77,5.52319,7.20402,6.30787,1.3043,conventional_oilfield_range
18.38,1.8652,4.33,1.018,15.42,0.1251,1.05527,0.36333,8.4356,conventional_oilfield_range
112.48,4.519,4.78,1.05,1.5,13.55245,16.98246,15.17083,1.2531,conventional_oilfield_range
84.11,31.8996,5.25,2.1,2.55,24.73797,52.35758,35.98917,2.1165,high_pressure_gas_CO2
120.44,38.2039,6.2,2.865,4.99,137.40637,60.03642,90.82613,2.2887,high_pressure_gas_CO2
133.2,1.6563,5.36,2.169,18.6,12.97852,9.54702,11.13132,1.3594,conventional_oilfield_range
122.56,44.0807,3.57,40.071,6.64,1318.01526,2986.77781,1984.09141,2.2661,high_pressure_gas_CO2
130.29,27.055,4.3,51.689,2.16,1504.81393,1880.26712,1682.09754,1.2495,high_pressure_gas_CO2
37.25,28.1682,4.88,4.614,15.91,6.36308,17.80858,10.64507,2.7987,high_pressure_gas_CO2
33.0,0.9656,6.09,127.069,5.58,9.53995,18.85831,13.41296,1.9768,conventional_oilfield_range
147.27,4.0611,6.32,1.782,19.41,23.9268,16.39419,19.80557,1.4595,conventional_oilfield_range
43.49,0.2114,4.8,38.493,6.27,1.88889,12.80384,4.91783,6.7785,conventional_oilfield_range
60.85,5.3674,4.26,34.864,0.03,48.93059,169.15215,90.97645,3.457,conventional_oilfield_range
109.32,16.8209,5.51,6.203,1.4,86.02074,80.23904,83.07961,1.0721,high_pressure_gas_CO2
50.52,34.9982,5.66,4.503,6.19,13.88381,21.98666,17.47165,1.5836,high_pressure_gas_CO2
47.87,0.2409,4.76,111.254,13.55,6.71111,29.93487,14.17379,4.4605,conventional_oilfield_range
48.64,4.4036,3.5,4.211,8.6,2.65154,29.10938,8.78548,10.9783,conventional_oilfield_range
72.42,2.1207,4.14,10.708,18.02,7.61944,36.55492,16.68916,4.7976,conventional_oilfield_range
17.3,3.5185,5.4,5.363,16.37,0.73017,1.86673,1.16749,2.5566,conventional_oilfield_range
37.57,0.3957,3.57,3.41,9.5,0.3686,5.44922,1.41724,14.7837,conventional_oilfield_range
65.09,7.7499,4.08,32.759,9.89,44.4225,277.04462,110.93699,6.2366,conventional_oilfield_range
5.8,17.9017,5.81,1.706,8.5,0.77822,2.01582,1.2525,2.5903,high_pressure_gas_CO2
80.1,0.1415,4.25,70.155,9.13,10.09371,55.96458,23.76742,5.5445,conventional_oilfield_range
148.24,6.1144,6.35,87.061,12.25,729.29577,306.65333,472.90694,2.3782,conventional_oilfield_range
125.43,4.4017,6.19,41.52,9.49,212.75027,164.9417,187.32696,1.2899,conventional_oilfield_range
97.46,19.8354,5.06,23.113,5.49,221.7012,306.39673,260.63101,1.382,high_pressure_gas_CO2
44.4,0.9102,5.12,2.0,4.63,0.54773,1.79623,0.99189,3.2794,conventional_oilfield_range
14.31,1.6703,5.13,8.031,4.14,0.54127,4.54084,1.56774,8.3892,conventional_oilfield_range
89.69,12.2059,6.07,46.345,7.61,218.37653,143.40154,176.96195,1.5228,high_pressure_gas_CO2
114.25,36.3366,6.36,8.163,14.95,120.49029,60.79339,85.58629,1.982,high_pressure_gas_CO2
36.98,0.4553,4.81,1.157,6.72,0.1593,0.88936,0.3764,5.5828,conventional_oilfield_range
28.93,2.5245,3.88,22.599,0.54,4.04993,56.5905,15.13894,13.9732,conventional_oilfield_range
8.93,8.4771,3.91,10.109,1.01,2.06318,25.30948,7.22621,12.2672,conventional_oilfield_range
52.39,19.2172,4.64,43.295,16.64,51.56041,166.61987,92.68759,3.2315,high_pressure_gas_CO2
7.81,4.152,6.5,5.775,13.0,0.64422,0.74097,0.6909,1.1502,conventional_oilfield_range
114.36,70.605,4.1,1.108,3.05,81.69932,182.52335,122.11484,2.2341,high_pressure_gas_CO2
86.78,0.4507,5.6,46.649,3.36,16.46994,35.87347,24.30708,2.1781,conventional_oilfield_range
21.61,28.7014,6.39,1.719,0.51,2.06027,2.91344,2.44999,1.4141,high_pressure_gas_CO2
143.94,1.5487,5.65,1.463,13.81,9.39266,10.61692,9.98604,1.1303,conventional_oilfield_range
117.01,35.5533,5.3,1.834,19.68,42.44018,33.76267,37.85358,1.257,high_pressure_gas_CO2
67.11,1.2933,5.02,5.528,16.99,2.82078,7.97976,4.74438,2.8289,conventional_oilfield_range
144.31,8.0678,5.99,34.607,8.71,423.9921,179.08355,275.55401,2.3676,conventional_oilfield_range
44.16,26.5826,5.11,11.275,8.71,20.18694,37.68694,27.58232,1.8669,high_pressure_gas_CO2
128.5,31.0594,3.76,82.891,4.88,1324.16517,5529.10403,2705.81725,4.1755,high_pressure_gas_CO2
59.95,0.1219,6.05,2.487,4.24,0.35338,0.66464,0.48464,1.8808,conventional_oilfield_range
132.65,12.6926,4.33,1.052,18.96,25.62596,53.1506,36.90576,2.0741,high_pressure_gas_CO2
75.84,18.8146,5.57,25.442,9.82,95.35927,101.40866,98.33746,1.0634,high_pressure_gas_CO2
37.13,11.8949,4.42,18.43,9.47,10.88974,57.56226,25.03673,5.2859,high_pressure_gas_CO2
113.16,0.9826,5.61,3.886,5.03,10.59303,15.77628,12.92744,1.4893,conventional_oilfield_range
22.34,4.0513,5.79,2.529,4.33,0.5928,1.83875,1.04404,3.1018,conventional_oilfield_range
146.61,3.749,4.35,1.655,3.88,28.37808,82.03091,48.24811,2.8906,conventional_oilfield_range
7.05,4.0032,4.32,131.873,11.07,7.23503,59.72653,20.78758,8.2552,conventional_oilfield_range
130.93,2.9692,6.12,17.751,9.39,86.03321,74.07522,79.83062,1.1614,conventional_oilfield_range
12.45,66.5565,4.93,61.517,8.01,47.57866,128.27706,78.1233,2.6961,high_pressure_gas_CO2
12.77,0.2803,5.19,4.583,19.88,0.10435,0.68179,0.26673,6.5335,conventional_oilfield_range
92.92,23.5626,4.18,13.714,9.01,82.09365,382.85489,177.28495,4.6636,high_pressure_gas_CO2
148.55,0.8244,5.36,21.214,14.8,66.79147,88.52531,76.89431,1.3254,conventional_oilfield_range
35.6,9.5782,3.97,2.389,1.5,3.10579,17.4993,7.37219,5.6344,conventional_oilfield_range
91.1,0.7478,4.19,34.546,14.06,14.86519,115.23098,41.38757,7.7517,conventional_oilfield_range
138.97,23.0932,5.38,27.466,18.67,390.10588,463.39444,425.17396,1.1879,high_pressure_gas_CO2
98.91,53.1171,5.98,1.43,3.32,40.21841,35.12949,37.58793,1.1449,high_pressure_gas_CO2
87.54,0.7342,3.87,31.523,13.99,19.49802,108.29398,45.95126,5.5541,conventional_oilfield_range
76.6,0.1743,3.62,8.712,6.45,1.934,26.34438,7.13793,13.6217,conventional_oilfield_range
144.48,32.2015,5.23,117.219,19.99,1915.85595,1631.29165,1767.8574,1.1744,high_pressure_gas_CO2
10.83,18.5698,4.91,26.166,18.32,5.96087,26.53642,12.57697,4.4518,high_pressure_gas_CO2
97.04,2.9866,3.77,5.717,6.67,14.45729,71.71175,32.19872,4.9602,conventional_oilfield_range
52.82,12.0509,4.36,113.98,16.27,69.82802,318.87897,149.22026,4.5666,high_pressure_gas_CO2
50.6,0.9329,6.41,7.577,10.29,2.51985,2.50611,2.51297,1.0055,conventional_oilfield_range
83.68,1.7368,4.06,6.127,15.13,5.30059,29.33091,12.46881,5.5335,conventional_oilfield_range
34.52,4.4428,6.28,8.982,13.97,4.23478,5.43307,4.79665,1.283,conventional_oilfield_range
93.29,0.5223,3.98,15.801,11.05,15.21976,89.38436,36.88371,5.8729,conventional_oilfield_range
137.37,2.4229,3.85,64.687,9.97,257.66709,958.23336,496.89557,3.7189,conventional_oilfield_range
44.65,31.928,6.44,3.391,11.03,6.25334,7.99703,7.07165,1.2788,high_pressure_gas_CO2
78.69,43.4489,6.09,3.992,15.8,23.47059,27.32989,25.32684,1.1644,high_pressure_gas_CO2
78.62,28.95,4.35,4.464,11.74,39.39328,88.20718,58.94718,2.2391,high_pressure_gas_CO2
26.55,4.128,4.54,15.886,10.87,3.0172,20.9144,7.94374,6.9317,conventional_oilfield_range
32.35,12.3736,5.22,3.223,15.51,3.01448,6.27519,4.34931,2.0817,high_pressure_gas_CO2
107.26,27.1786,4.66,27.813,16.41,324.87293,459.12909,386.21058,1.4133,high_pressure_gas_CO2
10.37,3.2127,5.27,78.081,17.48,3.28333,18.07137,7.70287,5.504,conventional_oilfield_range
71.25,14.7005,4.73,26.599,3.09,52.8663,227.22743,109.60234,4.2982,high_pressure_gas_CO2
54.09,11.9705,5.45,71.371,17.05,65.76968,87.32253,75.78374,1.3277,high_pressure_gas_CO2
50.92,14.3269,5.78,79.138,0.72,128.79965,149.22887,138.63847,1.1586,high_pressure_gas_CO2
138.53,98.2376,5.74,8.798,1.97,647.29223,319.296,454.61832,2.0272,dense_phase_supercritical_CO2
69.33,12.0782,6.21,1.259,15.92,3.97217,4.0108,3.99144,1.0097,high_pressure_gas_CO2
26.11,3.9219,5.2,53.039,3.4,14.71325,43.71466,25.36108,2.9711,conventional_oilfield_range
94.86,0.5278,6.24,2.049,9.22,2.06096,2.73916,2.37598,1.3291,conventional_oilfield_range
6.36,25.9358,6.2,29.822,3.16,8.12671,14.52798,10.86576,1.7877,high_pressure_gas_CO2
90.2,8.2569,4.77,3.501,16.91,14.44477,36.84773,23.0707,2.5509,conventional_oilfield_range
75.07,0.5148,5.22,17.817,19.85,3.79416,21.0904,8.94541,5.5587,conventional_oilfield_range
100.44,0.6659,5.2,31.072,14.89,26.47928,54.24595,37.89979,2.0486,conventional_oilfield_range
77.03,51.5782,4.36,54.751,12.14,281.54113,1007.35242,532.55154,3.578,high_pressure_gas_CO2
95.03,10.7968,5.66,27.192,16.77,74.58413,77.04058,75.80241,1.0329,high_pressure_gas_CO2
98.72,0.8449,4.82,18.248,14.65,17.50089,52.2005,30.22508,2.9827,conventional_oilfield_range
113.38,0.3364,3.9,14.921,19.43,6.0092,57.05645,18.51657,9.4949,conventional_oilfield_range
125.42,0.5901,5.97,11.183,16.13,15.76337,15.41729,15.58937,1.0224,conventional_oilfield_range
21.7,77.3891,3.92,126.821,17.2,79.53582,301.15624,154.76663,3.7864,dense_phase_liquid_CO2
145.25,25.9276,4.6,52.553,0.28,1413.09843,2507.98295,1882.55857,1.7748,high_pressure_gas_CO2
102.56,10.3997,5.25,61.611,18.81,232.89575,314.33699,270.56931,1.3497,high_pressure_gas_CO2
8.63,44.9474,5.18,98.103,4.43,52.581,123.39251,80.54875,2.3467,high_pressure_gas_CO2
136.86,0.8064,4.72,2.015,18.93,5.47853,19.43073,10.31755,3.5467,conventional_oilfield_range
19.09,45.8963,3.91,9.709,13.41,7.72186,33.63491,16.11596,4.3558,high_pressure_gas_CO2
65.77,16.858,3.96,7.995,1.98,25.07007,140.04251,59.25264,5.586,high_pressure_gas_CO2
142.97,0.1254,4.61,9.222,19.01,6.88387,24.74353,13.0511,3.5944,conventional_oilfield_range
104.42,4.2993,6.43,6.033,7.96,28.10967,18.75565,22.96117,1.4987,conventional_oilfield_range
127.96,2.3129,5.49,24.912,11.94,125.3943,123.47664,124.43178,1.0155,conventional_oilfield_range
40.32,0.2387,5.19,1.41,15.3,0.11985,0.63802,0.27652,5.3235,conventional_oilfield_range
131.11,0.9676,3.94,91.125,0.06,226.50931,981.09778,471.41042,4.3314,conventional_oilfield_range
23.85,0.5649,4.02,27.449,0.52,2.28808,21.67089,7.04165,9.4712,conventional_oilfield_range
39.5,0.9361,4.02,1.3,14.83,0.1989,2.43991,0.69663,12.2673,conventional_oilfield_range
74.06,21.58,5.04,1.727,10.08,11.7188,19.26781,15.0265,1.6442,high_pressure_gas_CO2
118.57,39.8972,5.06,9.925,19.28,218.99081,220.99593,219.99109,1.0092,high_pressure_gas_CO2
63.23,11.4365,4.97,95.41,1.47,194.17285,404.1769,280.14314,2.0815,high_pressure_gas_CO2
14.52,0.6684,5.4,15.605,6.5,0.8328,3.11558,1.61079,3.7411,conventional_oilfield_range
70.79,6.5506,3.8,33.662,17.06,32.24938,178.61317,75.89575,5.5385,conventional_oilfield_range
109.52,0.4416,4.85,3.142,6.78,3.48243,14.03126,6.9902,4.0292,conventional_oilfield_range
18.79,1.9067,5.5,6.524,3.05,0.94816,2.95104,1.67274,3.1124,conventional_oilfield_range
125.61,0.1904,3.79,40.522,16.24,16.60923,149.00302,49.74762,8.9711,conventional_oilfield_range
86.43,0.9749,3.87,5.881,13.31,4.99297,24.3994,11.03746,4.8867,conventional_oilfield_range
109.55,80.3889,5.3,5.824,11.56,207.09026,219.91154,213.40463,1.0619,dense_phase_supercritical_CO2
37.52,0.2112,6.04,6.307,15.25,0.23648,0.72708,0.41465,3.0746,conventional_oilfield_range
127.55,83.8764,5.96,21.637,12.85,1313.92755,437.04733,757.79187,3.0064,dense_phase_supercritical_CO2
125.27,0.6344,4.04,33.817,6.18,53.61659,283.75134,123.34415,5.2922,conventional_oilfield_range
131.13,4.9999,4.7,2.036,12.66,29.30533,47.28827,37.22631,1.6136,conventional_oilfield_range
36.19,1.8176,4.52,6.387,14.43,1.37003,6.2473,2.92557,4.56,conventional_oilfield_range
17.32,0.1438,3.97,22.104,13.48,0.28275,6.98312,1.40516,24.6971,conventional_oilfield_range
75.42,2.119,4.32,43.936,2.28,35.19486,199.66998,83.82934,5.6733,conventional_oilfield_range
103.38,2.8834,5.5,1.256,7.91,5.6597,8.09778,6.76986,1.4308,conventional_oilfield_range
48.71,0.4302,3.91,3.598,6.56,0.88418,7.28938,2.53872,8.2442,conventional_oilfield_range
30.48,1.3824,5.61,12.264,16.67,1.37882,3.60178,2.2285,2.6122,conventional_oilfield_range
129.96,0.1339,3.56,101.049,17.24,29.69502,319.81862,97.45266,10.7701,conventional_oilfield_range
107.88,1.7909,3.85,1.11,6.5,4.82798,19.40094,9.67819,4.0184,conventional_oilfield_range
125.64,57.4525,3.76,68.814,4.87,1697.48077,5120.10101,2948.0965,3.0163,high_pressure_gas_CO2
62.39,0.8528,4.52,5.306,3.36,2.31531,13.25651,5.54012,5.7256,conventional_oilfield_range
78.94,52.2117,4.55,38.269,16.38,241.9193,430.552,322.73649,1.7797,high_pressure_gas_CO2
26.23,0.3907,5.31,45.113,13.11,1.76164,9.73012,4.14016,5.5233,conventional_oilfield_range
76.65,18.3374,5.78,9.481,18.48,25.34211,28.8316,27.0306,1.1377,high_pressure_gas_CO2
95.56,39.1508,5.38,2.131,1.37,41.34903,51.68221,46.22779,1.2499,high_pressure_gas_CO2
44.83,0.1474,5.02,4.737,9.04,0.44163,2.09971,0.96297,4.7544,conventional_oilfield_range
16.13,39.1517,6.07,21.793,10.14,10.40714,17.86819,13.6366,1.7169,high_pressure_gas_CO2
119.81,48.7114,4.85,57.841,13.04,999.03306,1682.3011,1296.40827,1.6839,high_pressure_gas_CO2
26.87,0.1533,3.81,90.486,6.87,1.68498,26.13103,6.63553,15.5082,conventional_oilfield_range
30.02,0.5536,4.81,9.041,10.45,0.75345,5.02538,1.94586,6.6698,conventional_oilfield_range
46.02,1.6839,4.52,20.001,15.78,4.23558,22.88651,9.84569,5.4034,conventional_oilfield_range
18.7,10.8427,4.35,37.576,13.13,11.86977,43.48576,22.71928,3.6636,high_pressure_gas_CO2
53.34,5.6004,3.92,5.771,19.35,3.97761,23.0628,9.57782,5.7982,conventional_oilfield_range
91.28,65.1638,4.43,6.602,15.83,107.80108,154.32824,128.98353,1.4316,high_pressure_gas_CO2
125.2,16.456,5.56,13.979,12.92,167.39826,183.41687,175.22461,1.0957,high_pressure_gas_CO2
57.58,0.3474,4.14,115.402,9.73,11.76688,111.30713,36.1903,9.4594,conventional_oilfield_range
16.19,34.1417,3.8,47.588,16.7,18.65267,136.39873,50.44006,7.3126,high_pressure_gas_CO2
53.83,19.9032,3.89,6.604,3.24,21.33896,73.65802,39.64575,3.4518,high_pressure_gas_CO2
122.31,0.3138,4.81,7.835,13.53,7.99718,31.1093,15.77297,3.89,conventional_oilfield_range
46.31,17.6039,4.85,14.523,6.19,23.88035,50.49799,34.72621,2.1146,high_pressure_gas_CO2
126.09,1.2692,6.34,138.749,9.23,241.92227,222.31034,231.90908,1.0882,conventional_oilfield_range
81.48,79.2145,5.95,55.413,2.77,656.53274,545.17264,598.26724,1.2043,dense_phase_supercritical_CO2
131.75,4.6092,3.81,69.301,17.02,285.23055,1709.58304,698.30174,5.9937,conventional_oilfield_range
44.55,51.9899,3.94,8.953,18.93,20.08437,109.95696,46.99379,5.4748,high_pressure_gas_CO2
55.69,0.1202,3.66,12.371,4.72,1.21468,15.91742,4.39711,13.1042,conventional_oilfield_range
9.09,62.0123,6.02,25.964,15.83,13.31213,18.54967,15.71418,1.3934,high_pressure_gas_CO2
125.32,12.2523,3.92,34.301,8.97,397.83912,1228.2601,699.03499,3.0873,high_pressure_gas_CO2
42.11,31.9808,5.15,38.241,10.56,60.50307,121.06499,85.58506,2.001,high_pressure_gas_CO2
48.67,0.1391,4.76,53.407,9.14,3.34662,22.0658,8.59336,6.5935,conventional_oilfield_range
91.53,0.112,5.05,3.361,2.87,0.93036,5.16086,2.19122,5.5472,conventional_oilfield_range
39.88,1.7771,5.49,1.536,19.49,0.48971,1.1809,0.76046,2.4114,conventional_oilfield_range
78.56,92.256,5.16,7.074,9.4,76.95383,86.83715,81.74626,1.1284,dense_phase_supercritical_CO2
41.78,0.1119,5.87,5.628,14.66,0.18462,0.59579,0.33166,3.2271,conventional_oilfield_range
111.6,0.9944,3.63,15.423,16.27,23.34156,189.44059,66.49691,8.116,conventional_oilfield_range
72.37,12.1946,5.4,58.33,1.26,155.9716,186.02287,170.3358,1.1927,high_pressure_gas_CO2
47.55,0.1353,4.1,1.234,18.67,0.04879,0.93733,0.21386,19.2108,conventional_oilfield_range
83.74,0.5754,5.76,2.605,7.14,2.16057,2.53589,2.34072,1.1737,conventional_oilfield_range
53.13,0.2363,4.6,86.219,14.87,5.91408,31.29842,13.60519,5.2922,conventional_oilfield_range
146.19,3.0804,4.99,102.656,10.39,606.52039,692.3479,648.01475,1.1415,conventional_oilfield_range
16.44,6.4174,5.97,15.382,6.42,4.15572,7.2933,5.50535,1.755,conventional_oilfield_range
49.44,6.4249,4.78,31.695,7.03,33.02329,86.28868,53.38105,2.613,conventional_oilfield_range
56.12,98.7306,4.32,135.715,18.96,509.09892,1249.00247,797.41194,2.4534,dense_phase_supercritical_CO2
57.68,25.3098,5.54,118.401,2.86,197.19451,276.98075,233.70726,1.4046,high_pressure_gas_CO2
10.05,0.1591,5.84,6.269,7.66,0.0768,0.40066,0.17541,5.2172,conventional_oilfield_range
103.46,70.2216,4.62,45.766,11.48,657.57236,1210.41444,892.15194,1.8407,high_pressure_gas_CO2
99.19,0.5608,3.84,39.893,9.98,21.53874,215.97745,68.20472,10.0274,conventional_oilfield_range
42.96,0.6038,4.84,147.293,5.71,15.74299,62.53662,31.37696,3.9723,conventional_oilfield_range
22.78,36.1809,4.86,90.283,8.9,68.23715,195.22986,115.42066,2.861,high_pressure_gas_CO2
127.6,0.9094,4.54,1.385,10.84,6.53707,12.82305,9.15561,1.9616,conventional_oilfield_range
108.21,60.5304,5.41,53.353,10.18,1039.14298,879.91208,956.21884,1.181,high_pressure_gas_CO2
25.14,23.5028,3.58,16.055,7.38,12.71501,84.92889,32.86139,6.6794,high_pressure_gas_CO2
93.73,0.1814,4.43,149.696,14.38,19.0864,143.4685,52.32875,7.5168,conventional_oilfield_range
124.38,0.1664,6.42,24.991,9.0,14.66026,13.91075,14.28059,1.0539,conventional_oilfield_range
132.3,21.9174,5.42,2.489,19.33,39.18641,58.51861,47.88668,1.4933,high_pressure_gas_CO2
13.03,0.2358,3.96,2.282,6.45,0.06378,1.01442,0.25437,15.9042,conventional_oilfield_range
141.43,48.3925,6.04,3.51,12.7,180.25187,86.19716,124.6483,2.0912,high_pressure_gas_CO2
48.91,3.9851,5.01,2.328,18.83,1.62865,5.3879,2.96227,3.3082,conventional_oilfield_range
109.49,6.5376,6.03,16.846,16.5,75.93776,56.74877,65.64583,1.3381,conventional_oilfield_range
98.01,5.3742,5.45,46.663,8.33,117.00721,155.97025,135.09124,1.333,conventional_oilfield_range
95.94,0.7396,6.37,11.244,16.09,7.91789,7.10936,7.50274,1.1137,conventional_oilfield_range
15.58,0.1513,4.82,11.318,4.08,0.18885,1.85335,0.59161,9.814,conventional_oilfield_range
109.16,15.9441,6.08,132.588,2.62,862.28303,762.45901,810.83628,1.1309,high_pressure_gas_CO2
51.27,2.5085,4.3,3.463,1.94,2.45303,17.36058,6.5258,7.0772,conventional_oilfield_range
94.23,0.5557,6.1,2.226,6.55,2.10588,2.88309,2.46403,1.3691,conventional_oilfield_range
115.65,3.1246,5.04,12.172,6.17,83.78711,107.90789,95.0857,1.2879,conventional_oilfield_range
78.29,79.4438,4.15,5.86,1.01,70.80285,281.031,141.05955,3.9692,dense_phase_supercritical_CO2
99.87,2.5808,5.11,69.747,8.62,146.57438,196.49224,169.70777,1.3406,conventional_oilfield_range
115.76,1.2526,4.7,17.417,3.89,39.15044,117.17839,67.73172,2.993,conventional_oilfield_range
78.12,19.6432,4.34,142.021,13.61,521.70616,1522.92873,891.35924,2.9191,high_pressure_gas_CO2
62.12,24.2489,4.52,110.468,15.1,204.62914,674.9985,371.65086,3.2986,high_pressure_gas_CO2
77.51,0.1367,3.91,5.306,9.47,0.82671,11.62765,3.10044,14.0649,conventional_oilfield_range
79.75,0.9636,5.34,2.257,19.81,1.46481,2.97668,2.08813,2.0321,conventional_oilfield_range
53.77,30.5399,5.1,34.856,6.0,92.31311,139.46451,113.46543,1.5108,high_pressure_gas_CO2
102.7,87.035,5.25,54.177,14.51,908.84369,831.69102,869.41195,1.0928,dense_phase_supercritical_CO2
73.82,79.6548,5.85,48.865,11.55,352.6512,214.99619,275.35189,1.6403,dense_phase_supercritical_CO2
29.72,7.7104,5.36,67.679,2.96,23.68995,59.5051,37.54561,2.5118,conventional_oilfield_range
142.49,0.2136,3.56,4.815,3.03,8.37246,63.20695,23.00429,7.5494,conventional_oilfield_range
117.37,57.7514,6.12,39.925,1.25,1272.31917,602.20488,875.32669,2.1128,high_pressure_gas_CO2
52.13,9.698,5.08,4.817,3.46,9.46236,18.19691,13.12195,1.9231,conventional_oilfield_range
56.37,20.7,5.66,25.113,13.87,40.78743,52.80754,46.40995,1.2947,high_pressure_gas_CO2
40.75,4.7235,4.17,130.961,5.95,41.91973,304.76524,113.02954,7.2702,conventional_oilfield_range
107.22,0.8936,4.55,107.601,15.91,79.22272,319.03916,158.98161,4.0271,conventional_oilfield_range
103.11,1.3775,6.44,60.376,19.09,56.38169,36.437,45.32527,1.5474,conventional_oilfield_range
46.71,13.8811,4.54,9.176,5.13,12.13586,50.53724,24.76515,4.1643,high_pressure_gas_CO2
83.09,62.961,5.59,1.989,12.31,28.41684,26.08115,27.22395,1.0896,high_pressure_gas_CO2
102.13,3.9185,5.41,1.301,8.27,6.84588,9.33367,7.99357,1.3634,conventional_oilfield_range
116.76,0.1036,5.15,105.149,8.14,42.825,83.05729,59.63999,1.9395,conventional_oilfield_range
74.23,0.3966,6.39,4.999,12.92,1.76462,1.99867,1.878,1.1326,conventional_oilfield_range
88.25,4.0314,5.67,109.214,18.26,140.65941,216.11263,174.35101,1.5364,conventional_oilfield_range
